alert_id,timestamp,asset_id,asset_type,asset_importance,event_type,ground_truth_validity,ground_truth_risk_level,is_valid_alert,risk_score,risk_level,suspected_attack_type,evidence_summary,explanation,recommended_actions,need_human_review,workflow_action,assigned_role,status,audit_log,closed_loop_completed,judgement_time_ms
A0001,2026-05-18T08:05:00,ASSET-AD-01,identity_server,critical,abnormal_login,True,high,True,70.88,high,suspected_account_abuse,"[""涉及 critical 重要性资产 ASSET-AD-01"", ""检测到行为标签：failed_login_burst, sensitive_account"", ""威胁特征评分较高，需要人工结合日志复核""]","{""asset_importance_score"": {""score"": 95.0, ""weight"": 0.25, ""contribution"": 23.75, ""evidence"": ""asset_importance is critical""}, ""behavior_anomaly_score"": {""score"": 84.5, ""weight"": 0.25, ""contribution"": 21.12, ""evidence"": ""event_type is abnormal_login; behavior tags: failed_login_burst, sensitive_account""}, ""threat_feature_score"": {""score"": 85.0, ""weight"": 0.2, ""contribution"": 17.0, ""evidence"": ""threat-like tags: failed_login_burst, sensitive_account""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 70.88, ""risk_level"": ""high"", ""reason"": ""weighted score falls into high interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""进入人工复核"", ""收集相关日志和资产上下文"", ""确认后再执行真实处置操作""]",True,mandatory_human_review,security_analyst,pending_human_review,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0001"", ""2026-06-28T13:04:56+00:00 risk_level=high, workflow_action=mandatory_human_review"", ""2026-06-28T13:04:56+00:00 assigned_role=security_analyst, status=pending_human_review"", ""2026-06-28T13:04:56+00:00 high-risk event is not auto-closed and requires manual review""]",False,0.1294
A0002,2026-05-18T08:10:00,ASSET-WEB-01,web_server,high,abnormal_login,True,medium,True,57.9,medium,suspected_account_abuse,"[""涉及 high 重要性资产 ASSET-WEB-01"", ""检测到行为标签：new_source_ip, non_working_hours""]","{""asset_importance_score"": {""score"": 75.0, ""weight"": 0.25, ""contribution"": 18.75, ""evidence"": ""asset_importance is high""}, ""behavior_anomaly_score"": {""score"": 70.2, ""weight"": 0.25, ""contribution"": 17.55, ""evidence"": ""event_type is abnormal_login; behavior tags: new_source_ip, non_working_hours""}, ""threat_feature_score"": {""score"": 63.0, ""weight"": 0.2, ""contribution"": 12.6, ""evidence"": ""threat-like tags: new_source_ip, non_working_hours""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 57.9, ""risk_level"": ""medium"", ""reason"": ""weighted score falls into medium interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""生成普通工单"", ""复核资产、账号和业务窗口"", ""补充同源告警关联分析""]",False,create_ticket,soc_operator,ticket_opened,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0002"", ""2026-06-28T13:04:56+00:00 risk_level=medium, workflow_action=create_ticket"", ""2026-06-28T13:04:56+00:00 assigned_role=soc_operator, status=ticket_opened""]",False,0.0748
A0003,2026-05-18T08:15:00,ASSET-DB-01,database,critical,abnormal_login,True,high,True,68.34,high,suspected_account_abuse,"[""涉及 critical 重要性资产 ASSET-DB-01"", ""检测到行为标签：non_working_hours, sensitive_account"", ""威胁特征评分较高，需要人工结合日志复核""]","{""asset_importance_score"": {""score"": 95.0, ""weight"": 0.25, ""contribution"": 23.75, ""evidence"": ""asset_importance is critical""}, ""behavior_anomaly_score"": {""score"": 79.95, ""weight"": 0.25, ""contribution"": 19.99, ""evidence"": ""event_type is abnormal_login; behavior tags: non_working_hours, sensitive_account""}, ""threat_feature_score"": {""score"": 78.0, ""weight"": 0.2, ""contribution"": 15.6, ""evidence"": ""threat-like tags: non_working_hours, sensitive_account""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 68.34, ""risk_level"": ""high"", ""reason"": ""weighted score falls into high interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""进入人工复核"", ""收集相关日志和资产上下文"", ""确认后再执行真实处置操作""]",True,mandatory_human_review,security_analyst,pending_human_review,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0003"", ""2026-06-28T13:04:56+00:00 risk_level=high, workflow_action=mandatory_human_review"", ""2026-06-28T13:04:56+00:00 assigned_role=security_analyst, status=pending_human_review"", ""2026-06-28T13:04:56+00:00 high-risk event is not auto-closed and requires manual review""]",False,0.0654
A0004,2026-05-18T08:20:00,ASSET-OA-01,office_server,medium,abnormal_login,True,medium,True,49.31,medium,suspected_account_abuse,"[""涉及 medium 重要性资产 ASSET-OA-01"", ""检测到行为标签：failed_login_burst""]","{""asset_importance_score"": {""score"": 45.0, ""weight"": 0.25, ""contribution"": 11.25, ""evidence"": ""asset_importance is medium""}, ""behavior_anomaly_score"": {""score"": 68.25, ""weight"": 0.25, ""contribution"": 17.06, ""evidence"": ""event_type is abnormal_login; behavior tags: failed_login_burst""}, ""threat_feature_score"": {""score"": 60.0, ""weight"": 0.2, ""contribution"": 12.0, ""evidence"": ""threat-like tags: failed_login_burst""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 49.31, ""risk_level"": ""medium"", ""reason"": ""weighted score falls into medium interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""生成普通工单"", ""复核资产、账号和业务窗口"", ""补充同源告警关联分析""]",False,create_ticket,soc_operator,ticket_opened,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0004"", ""2026-06-28T13:04:56+00:00 risk_level=medium, workflow_action=create_ticket"", ""2026-06-28T13:04:56+00:00 assigned_role=soc_operator, status=ticket_opened""]",False,0.0609
A0005,2026-05-18T08:25:00,ASSET-FILE-01,file_server,high,abnormal_login,True,medium,True,51.38,medium,suspected_account_abuse,"[""涉及 high 重要性资产 ASSET-FILE-01"", ""检测到行为标签：new_source_ip""]","{""asset_importance_score"": {""score"": 75.0, ""weight"": 0.25, ""contribution"": 18.75, ""evidence"": ""asset_importance is high""}, ""behavior_anomaly_score"": {""score"": 58.5, ""weight"": 0.25, ""contribution"": 14.62, ""evidence"": ""event_type is abnormal_login; behavior tags: new_source_ip""}, ""threat_feature_score"": {""score"": 45.0, ""weight"": 0.2, ""contribution"": 9.0, ""evidence"": ""threat-like tags: new_source_ip""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 51.38, ""risk_level"": ""medium"", ""reason"": ""weighted score falls into medium interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""生成普通工单"", ""复核资产、账号和业务窗口"", ""补充同源告警关联分析""]",False,create_ticket,soc_operator,ticket_opened,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0005"", ""2026-06-28T13:04:56+00:00 risk_level=medium, workflow_action=create_ticket"", ""2026-06-28T13:04:56+00:00 assigned_role=soc_operator, status=ticket_opened""]",False,0.1092
A0006,2026-05-18T08:30:00,ASSET-AD-01,identity_server,critical,abnormal_login,True,high,True,68.34,high,suspected_account_abuse,"[""涉及 critical 重要性资产 ASSET-AD-01"", ""检测到行为标签：failed_login_burst, non_working_hours"", ""威胁特征评分较高，需要人工结合日志复核""]","{""asset_importance_score"": {""score"": 95.0, ""weight"": 0.25, ""contribution"": 23.75, ""evidence"": ""asset_importance is critical""}, ""behavior_anomaly_score"": {""score"": 79.95, ""weight"": 0.25, ""contribution"": 19.99, ""evidence"": ""event_type is abnormal_login; behavior tags: failed_login_burst, non_working_hours""}, ""threat_feature_score"": {""score"": 78.0, ""weight"": 0.2, ""contribution"": 15.6, ""evidence"": ""threat-like tags: failed_login_burst, non_working_hours""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 68.34, ""risk_level"": ""high"", ""reason"": ""weighted score falls into high interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""进入人工复核"", ""收集相关日志和资产上下文"", ""确认后再执行真实处置操作""]",True,mandatory_human_review,security_analyst,pending_human_review,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0006"", ""2026-06-28T13:04:56+00:00 risk_level=high, workflow_action=mandatory_human_review"", ""2026-06-28T13:04:56+00:00 assigned_role=security_analyst, status=pending_human_review"", ""2026-06-28T13:04:56+00:00 high-risk event is not auto-closed and requires manual review""]",False,0.1038
A0007,2026-05-18T08:35:00,ASSET-WEB-02,web_server,critical,abnormal_login,True,high,True,65.44,high,suspected_account_abuse,"[""涉及 critical 重要性资产 ASSET-WEB-02"", ""检测到行为标签：new_source_ip, sensitive_account"", ""威胁特征评分较高，需要人工结合日志复核""]","{""asset_importance_score"": {""score"": 95.0, ""weight"": 0.25, ""contribution"": 23.75, ""evidence"": ""asset_importance is critical""}, ""behavior_anomaly_score"": {""score"": 74.75, ""weight"": 0.25, ""contribution"": 18.69, ""evidence"": ""event_type is abnormal_login; behavior tags: new_source_ip, sensitive_account""}, ""threat_feature_score"": {""score"": 70.0, ""weight"": 0.2, ""contribution"": 14.0, ""evidence"": ""threat-like tags: new_source_ip, sensitive_account""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 65.44, ""risk_level"": ""high"", ""reason"": ""weighted score falls into high interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""进入人工复核"", ""收集相关日志和资产上下文"", ""确认后再执行真实处置操作""]",True,mandatory_human_review,security_analyst,pending_human_review,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0007"", ""2026-06-28T13:04:56+00:00 risk_level=high, workflow_action=mandatory_human_review"", ""2026-06-28T13:04:56+00:00 assigned_role=security_analyst, status=pending_human_review"", ""2026-06-28T13:04:56+00:00 high-risk event is not auto-closed and requires manual review""]",False,0.1023
A0008,2026-05-18T08:40:00,ASSET-OA-01,office_server,medium,abnormal_login,True,medium,True,49.31,medium,suspected_account_abuse,"[""涉及 medium 重要性资产 ASSET-OA-01"", ""检测到行为标签：failed_login_burst""]","{""asset_importance_score"": {""score"": 45.0, ""weight"": 0.25, ""contribution"": 11.25, ""evidence"": ""asset_importance is medium""}, ""behavior_anomaly_score"": {""score"": 68.25, ""weight"": 0.25, ""contribution"": 17.06, ""evidence"": ""event_type is abnormal_login; behavior tags: failed_login_burst""}, ""threat_feature_score"": {""score"": 60.0, ""weight"": 0.2, ""contribution"": 12.0, ""evidence"": ""threat-like tags: failed_login_burst""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 49.31, ""risk_level"": ""medium"", ""reason"": ""weighted score falls into medium interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""生成普通工单"", ""复核资产、账号和业务窗口"", ""补充同源告警关联分析""]",False,create_ticket,soc_operator,ticket_opened,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0008"", ""2026-06-28T13:04:56+00:00 risk_level=medium, workflow_action=create_ticket"", ""2026-06-28T13:04:56+00:00 assigned_role=soc_operator, status=ticket_opened""]",False,0.121
A0009,2026-05-18T08:45:00,ASSET-FILE-01,file_server,high,abnormal_login,True,medium,True,54.28,medium,suspected_account_abuse,"[""涉及 high 重要性资产 ASSET-FILE-01"", ""检测到行为标签：non_working_hours""]","{""asset_importance_score"": {""score"": 75.0, ""weight"": 0.25, ""contribution"": 18.75, ""evidence"": ""asset_importance is high""}, ""behavior_anomaly_score"": {""score"": 63.7, ""weight"": 0.25, ""contribution"": 15.93, ""evidence"": ""event_type is abnormal_login; behavior tags: non_working_hours""}, ""threat_feature_score"": {""score"": 53.0, ""weight"": 0.2, ""contribution"": 10.6, ""evidence"": ""threat-like tags: non_working_hours""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 54.28, ""risk_level"": ""medium"", ""reason"": ""weighted score falls into medium interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""生成普通工单"", ""复核资产、账号和业务窗口"", ""补充同源告警关联分析""]",False,create_ticket,soc_operator,ticket_opened,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0009"", ""2026-06-28T13:04:56+00:00 risk_level=medium, workflow_action=create_ticket"", ""2026-06-28T13:04:56+00:00 assigned_role=soc_operator, status=ticket_opened""]",False,0.0763
A0010,2026-05-18T08:50:00,ASSET-DB-01,database,critical,abnormal_login,True,high,True,65.44,high,suspected_account_abuse,"[""涉及 critical 重要性资产 ASSET-DB-01"", ""检测到行为标签：new_source_ip, sensitive_account"", ""威胁特征评分较高，需要人工结合日志复核""]","{""asset_importance_score"": {""score"": 95.0, ""weight"": 0.25, ""contribution"": 23.75, ""evidence"": ""asset_importance is critical""}, ""behavior_anomaly_score"": {""score"": 74.75, ""weight"": 0.25, ""contribution"": 18.69, ""evidence"": ""event_type is abnormal_login; behavior tags: new_source_ip, sensitive_account""}, ""threat_feature_score"": {""score"": 70.0, ""weight"": 0.2, ""contribution"": 14.0, ""evidence"": ""threat-like tags: new_source_ip, sensitive_account""}, ""correlation_score"": {""score"": 15.0, ""weight"": 0.2, ""contribution"": 3.0, ""evidence"": ""related_alert_ids count is 0; same-asset event variety is 1""}, ""history_similarity_score"": {""score"": 60.0, ""weight"": 0.1, ""contribution"": 6.0, ""evidence"": ""similar simulated historical pattern for abnormal_login""}, ""final_assessment"": {""risk_score"": 65.44, ""risk_level"": ""high"", ""reason"": ""weighted score falls into high interval; event_type is abnormal_login; 0 related alerts used for contextual scoring""}}","[""进入人工复核"", ""收集相关日志和资产上下文"", ""确认后再执行真实处置操作""]",True,mandatory_human_review,security_analyst,pending_human_review,"[""2026-06-28T13:04:56+00:00 received judgement for alert A0010"", ""2026-06-28T13:04:56+00:00 risk_level=high, workflow_action=mandatory_human_review"", ""2026-06-28T13:04:56+00:00 assigned_role=security_analyst, status=pending_human_review"", ""2026-06-28T13:04:56+00:00 high-risk event is not auto-closed and requires manual review""]",False,0.0989
